ID_TRANSACC,ID_ORIG,ID_DEST,MONTO,FECHA_HORA,ESTADO
1,101777,103509,623.55,2024-09-29 23:12:34,Confirmada
2,100400,103408,1105.84,2024-07-13 18:45:34,Rechazada
3,103781,101306,64.46,2024-06-12 07:00:34,Confirmada
4,102495,105097,1751.62,2024-11-10 09:50:34,Rechazada
5,104451,101840,45.83,2024-08-31 12:39:34,Confirmada
6,100305,105013,1383.47,2024-07-21 01:22:34,Confirmada
7,103939,101917,1562.41,2025-03-04 06:40:34,Confirmada
8,101471,104468,1351.78,2025-02-17 02:02:34,Confirmada
9,105900,104235,666.81,2024-07-10 12:38:34,Pendiente
10,104498,100772,746.75,2024-09-13 06:27:34,Confirmada
11,100141,105103,1014.44,2024-11-27 12:12:34,Pendiente
12,101747,104448,403.21,2025-01-21 17:04:34,Confirmada
13,101116,102015,1950.63,2024-11-18 11:03:34,Confirmada
14,101695,105130,813.58,2025-05-06 03:03:34,Confirmada
15,100210,104184,1993.2,2024-06-18 15:52:34,Pendiente
16,100480,100738,1440.98,2024-12-17 12:39:34,Confirmada
17,105514,105322,1757.76,2025-04-03 15:23:34,Pendiente
18,103912,101254,1155.83,2025-04-09 16:10:34,Rechazada
19,102736,105448,1158.44,2025-05-05 15:29:34,Pendiente
20,103959,103735,1003.17,2024-12-23 02:04:34,Confirmada
21,101106,105900,367.89,2024-06-07 10:26:34,Confirmada
22,101184,105070,1422.56,2024-10-16 22:21:34,Confirmada
23,103092,103795,1149.65,2025-02-16 01:16:34,Confirmada
24,101166,104811,127.17,2024-05-24 12:37:34,Confirmada
25,102336,104212,583.65,2025-02-09 01:14:34,Confirmada
26,102878,101362,480.76,2024-09-24 17:21:34,Confirmada
27,103932,104550,468.27,2025-01-27 10:17:34,Rechazada
28,101443,105199,1658.03,2024-07-29 21:16:34,Confirmada
29,105675,103016,161.73,2024-08-28 19:20:34,Rechazada
30,100765,105503,1931.44,2024-07-17 13:08:34,Confirmada
31,101478,105751,853.01,2025-03-28 23:37:34,Confirmada
32,105649,105880,439.38,2024-06-13 13:52:34,Pendiente
33,105622,100091,17.65,2024-08-26 05:57:34,Confirmada
34,105349,102328,1344.89,2024-06-23 20:58:34,Confirmada
35,103977,103713,593.64,2024-12-25 09:27:34,Confirmada
36,100888,106048,1077.38,2025-04-25 01:04:34,Confirmada
37,105285,102104,327.14,2024-06-22 20:15:34,Confirmada
38,101745,104687,1560.96,2025-05-04 00:22:34,Confirmada
39,102445,105055,1797.77,2024-11-29 16:09:34,Confirmada
40,101008,104510,570.41,2025-01-17 22:13:34,Rechazada
41,102060,103588,1160.18,2024-10-09 23:56:34,Rechazada
42,105256,105512,693.76,2025-04-02 08:51:34,Pendiente
43,105137,100904,375.7,2024-08-04 08:45:34,Confirmada
44,101890,105311,1642.87,2024-09-05 03:26:34,Confirmada
45,106035,104206,608.17,2024-11-02 09:08:34,Confirmada
46,100390,105739,1904.09,2025-04-23 04:22:34,Rechazada
47,102812,100021,891.56,2024-09-25 02:02:34,Rechazada
48,100626,101634,406.16,2024-12-21 15:50:34,Confirmada
49,101200,101387,550.9,2025-01-09 19:13:34,Confirmada
50,103020,101036,995.7,2024-11-24 18:31:34,Rechazada
51,100192,105572,273.91,2025-01-29 17:20:34,Confirmada
52,104263,102639,1856.02,2025-04-22 17:41:34,Confirmada
53,103802,104856,404.71,2025-02-23 17:42:34,Confirmada
54,104417,102047,694.46,2025-02-28 10:18:34,Confirmada
55,101769,105941,1606.5,2024-05-22 13:06:34,Confirmada
56,105641,101853,902.39,2024-11-19 01:19:34,Confirmada
57,100328,104647,762.98,2024-10-31 02:40:34,Confirmada
58,101659,101197,1182.49,2024-06-25 06:58:34,Rechazada
59,100368,104524,1023.51,2024-08-03 04:04:34,Pendiente
60,101994,105856,1255.58,2024-06-14 21:35:34,Confirmada
61,101323,101818,228.47,2025-01-08 10:32:34,Confirmada
62,100661,104455,1707.05,2024-11-10 19:36:34,Confirmada
63,100573,103211,1829.44,2025-01-16 23:58:34,Confirmada
64,105997,101156,1304.94,2024-05-28 09:32:34,Confirmada
65,103926,103176,252.96,2024-09-21 18:17:34,Confirmada
66,102325,102972,430.7,2025-02-22 12:23:34,Pendiente
67,101533,100254,989.66,2024-12-14 15:33:34,Rechazada
68,104527,105642,657.9,2025-01-01 03:31:34,Confirmada
69,101767,105411,1057.03,2025-01-20 18:01:34,Rechazada
70,102781,104031,1032.29,2024-11-19 17:37:34,Confirmada
71,100368,102341,573.06,2024-12-09 19:23:34,Confirmada
72,101509,102630,557.76,2024-09-26 12:13:34,Confirmada
73,100318,105475,1872.51,2025-03-01 15:19:34,Confirmada
74,102192,105089,923.23,2025-01-10 10:13:34,Confirmada
75,102244,101239,1162.58,2024-07-25 22:09:34,Confirmada
76,100772,100664,1592.95,2024-11-21 12:32:34,Confirmada
77,104357,100486,246.82,2024-08-22 05:57:34,Confirmada
78,105800,100734,1715.25,2024-12-14 23:54:34,Pendiente
79,104193,102669,839.75,2025-03-09 21:11:34,Confirmada
80,102495,100665,482.87,2024-12-27 22:21:34,Confirmada
81,104913,104732,290.43,2024-09-15 02:17:34,Confirmada
82,102488,100310,222.53,2025-02-03 18:30:34,Confirmada
83,102176,105313,1371.43,2024-07-27 17:58:34,Confirmada
84,102040,103600,309.92,2024-06-05 19:37:34,Confirmada
85,100326,105972,1269.09,2024-09-30 03:34:34,Confirmada
86,102706,105268,811.24,2025-04-29 09:40:34,Confirmada
87,105682,104779,1331.89,2024-06-22 08:15:34,Confirmada
88,102532,104247,781.39,2024-12-13 08:06:34,Pendiente
89,102460,105374,58.99,2024-08-29 20:25:34,Pendiente
90,104368,102708,22.05,2025-03-24 03:21:34,Rechazada
91,102256,104497,963.21,2024-07-08 05:47:34,Confirmada
92,103717,103498,1724.9,2025-03-14 10:20:34,Rechazada
93,100897,101439,870.91,2025-05-16 23:24:34,Confirmada
94,103580,104257,1992.85,2024-08-23 20:38:34,Confirmada
95,102712,102411,782.5,2024-06-27 11:56:34,Confirmada
96,105543,103586,374.56,2024-12-27 10:31:34,Confirmada
97,103971,104005,1354.24,2025-03-06 06:01:34,Confirmada
98,102755,103053,441.08,2024-09-18 07:18:34,Confirmada
99,103102,100120,53.48,2024-08-26 22:36:34,Confirmada
100,102676,105320,1868.77,2024-09-06 19:46:34,Confirmada
101,101165,106040,1589.29,2024-12-09 09:23:34,Confirmada
102,104402,103621,1008.93,2024-09-25 14:23:34,Confirmada
103,105349,101027,1425.77,2025-04-30 02:27:34,Rechazada
104,101392,101284,855.52,2024-07-05 09:55:34,Confirmada
105,104896,102522,1498.37,2025-02-07 23:58:34,Confirmada
106,100776,101341,1638.51,2024-09-19 11:51:34,Confirmada
107,100433,104734,1933.67,2024-11-17 05:07:34,Confirmada
108,101600,102316,1770.46,2025-04-12 09:19:34,Confirmada
109,101212,103059,26.7,2025-04-28 05:21:34,Confirmada
110,100283,100885,989.49,2025-03-20 22:34:34,Confirmada
111,104911,104970,1554.01,2024-08-06 04:38:34,Confirmada
112,105379,100010,769.82,2024-06-27 23:48:34,Confirmada
113,102531,104084,1032.74,2025-02-19 09:01:34,Confirmada
114,100758,102088,1949.2,2024-10-30 09:34:34,Confirmada
115,100218,102317,1014.26,2024-07-25 03:43:34,Confirmada
116,105952,102567,869.71,2024-06-20 13:30:34,Pendiente
117,103406,104968,837.45,2024-05-25 08:37:34,Confirmada
118,104551,102232,670.35,2024-11-24 15:16:34,Confirmada
119,103518,101111,1874.22,2024-09-25 03:57:34,Confirmada
120,101355,100237,1000.48,2024-07-08 06:29:34,Rechazada
121,104073,103842,158.14,2024-09-30 11:10:34,Confirmada
122,104632,100819,1051.34,2024-05-28 23:15:34,Confirmada
123,102452,102298,544.97,2024-06-30 20:21:34,Confirmada
124,103942,102981,102.49,2024-07-08 11:55:34,Confirmada
125,100496,100721,128.43,2024-08-11 23:34:34,Pendiente
126,102948,103034,736.08,2024-10-16 20:49:34,Confirmada
127,100759,104403,1330.08,2024-11-28 11:31:34,Confirmada
128,100995,105723,215.17,2024-10-03 00:11:34,Rechazada
129,105574,102165,520.89,2025-02-27 20:17:34,Confirmada
130,103037,105620,941.85,2024-09-25 21:02:34,Confirmada
131,100351,104101,1765.84,2025-02-22 09:03:34,Confirmada
132,103744,101864,552.08,2025-02-19 17:32:34,Pendiente
133,102983,104708,1636.86,2024-07-23 19:51:34,Confirmada
134,104912,101249,784.84,2024-07-24 03:01:34,Confirmada
135,105668,100257,1459.11,2025-01-15 07:07:34,Confirmada
136,101746,104027,1014.61,2024-12-26 09:30:34,Pendiente
137,104741,103284,1640.64,2025-05-15 02:51:34,Confirmada
138,101675,100925,1797.39,2025-03-18 07:09:34,Confirmada
139,103736,100958,320.35,2024-06-19 13:34:34,Confirmada
140,104235,100185,1101.4,2025-03-05 16:46:34,Pendiente
141,105763,104500,1800.6,2024-12-30 12:37:34,Confirmada
142,105246,101040,924.2,2025-04-18 17:24:34,Confirmada
143,104905,100767,1185.82,2024-06-14 11:46:34,Confirmada
144,102427,105344,1888.6,2024-09-29 14:46:34,Confirmada
145,101181,104577,135.02,2024-10-11 11:51:34,Confirmada
146,103284,103710,906.32,2024-10-07 16:49:34,Confirmada
147,100472,101097,435.1,2024-09-25 04:21:34,Pendiente
148,100504,102557,107.39,2024-07-28 15:52:34,Pendiente
149,103614,105425,110.67,2025-05-06 09:44:34,Confirmada
150,102301,105079,1914.17,2025-02-01 20:36:34,Confirmada
151,102417,102485,1657.56,2024-07-26 10:23:34,Pendiente
152,101869,103177,713.18,2024-06-11 01:04:34,Confirmada
153,100830,104875,832.51,2024-08-18 15:00:34,Confirmada
154,102279,103695,35.78,2024-07-18 01:07:34,Confirmada
155,105779,102764,643.52,2024-07-13 03:42:34,Confirmada
156,100993,104575,1232.47,2024-08-21 18:31:34,Confirmada
157,104779,104646,972.53,2024-09-09 17:29:34,Pendiente
158,104092,103033,1459.79,2025-03-09 04:33:34,Confirmada
159,102492,105417,1019.77,2025-02-16 06:57:34,Pendiente
160,105183,102483,579.34,2024-07-25 00:38:34,Confirmada
161,101090,104328,1928.44,2024-10-21 11:10:34,Pendiente
162,104101,101011,649.02,2024-08-04 06:18:34,Rechazada
163,101864,100791,1067.41,2024-08-05 18:20:34,Confirmada
164,103508,103507,1437.96,2025-01-01 13:44:34,Rechazada
165,103652,103568,1871.41,2024-11-07 13:52:34,Confirmada
166,104148,105244,450.41,2025-01-19 08:39:34,Pendiente
167,104040,102929,1702.06,2024-11-09 01:35:34,Confirmada
168,105751,102251,113.03,2024-09-13 13:43:34,Confirmada
169,101938,101586,139.62,2025-04-13 17:09:34,Confirmada
170,102951,101879,1628.99,2024-07-05 04:22:34,Pendiente
171,103077,100735,264.07,2024-09-08 09:04:34,Confirmada
172,100968,102634,1083.35,2024-06-11 10:16:34,Confirmada
173,104646,104417,909.84,2024-08-26 20:09:34,Pendiente
174,104415,102532,1624.95,2025-04-01 05:45:34,Confirmada
175,105493,103522,1449.83,2025-01-27 11:40:34,Rechazada
176,104514,102920,302.61,2025-01-10 02:50:34,Confirmada
177,103242,105037,473.42,2025-04-09 07:01:34,Confirmada
178,103252,105027,1461.79,2024-08-04 03:20:34,Rechazada
179,105945,101836,666.21,2024-08-26 04:46:34,Confirmada
180,100728,103286,611.12,2024-06-10 10:41:34,Pendiente
181,103684,103582,570.55,2024-10-08 16:47:34,Confirmada
182,100050,105922,663.9,2025-04-22 09:00:34,Pendiente
183,100801,103807,743.64,2024-08-30 07:56:34,Confirmada
184,102197,104058,1682.55,2025-03-21 11:54:34,Confirmada
185,100379,101551,1580.33,2024-09-22 13:44:34,Confirmada
186,100971,104195,1005.02,2024-09-06 23:18:34,Confirmada
187,102953,101079,1974.41,2025-04-07 08:03:34,Confirmada
188,104698,105778,1738.12,2024-07-26 19:17:34,Confirmada
189,101828,101970,378.93,2024-07-26 17:51:34,Confirmada
190,103265,102781,40.04,2024-12-17 11:46:34,Pendiente
191,100943,103638,648.47,2025-04-01 21:44:34,Confirmada
192,104802,104715,699.28,2025-02-18 09:34:34,Confirmada
193,101969,104750,867.41,2024-05-30 17:49:34,Confirmada
194,101266,104971,1252.25,2024-07-12 07:31:34,Pendiente
195,104282,104646,1264.86,2024-05-30 06:56:34,Confirmada
196,105180,101700,1965.05,2025-01-07 11:10:34,Confirmada
197,105621,101693,1559.97,2025-02-16 06:07:34,Rechazada
198,102959,105415,1546.15,2024-11-13 03:39:34,Pendiente
199,102426,100785,1823.09,2025-05-04 14:03:34,Confirmada
200,104305,105232,1332.45,2024-07-27 13:28:34,Pendiente
201,102892,105814,1454.18,2025-02-11 20:04:34,Pendiente
202,102189,100373,376.38,2025-04-13 09:57:34,Pendiente
203,105705,104872,650.69,2025-02-19 20:55:34,Confirmada
204,102131,105936,1925.02,2025-03-05 04:50:34,Confirmada
