ID_TRANSACC|ID_ORIG|ID_DEST|MONTO|FECHA_HORA|ESTADO|DETALLE
5|100524|101976|36.52|Thu May 22 03:12:48 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P1. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=1921.67. nuevoSaldoDestino=9011.34. workerIdProcesador=worker0}
6|105001|104080|89.17|Thu May 22 03:12:48 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P3. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=7727.57. nuevoSaldoDestino=6258.77. workerIdProcesador=worker0}
8|105035|104255|181.39|Thu May 22 03:12:48 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P3. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=5628.29. nuevoSaldoDestino=5406.35. workerIdProcesador=worker0}
1|100893|100460|190.69|Thu May 22 03:12:48 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P1. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=7241.620000000001. nuevoSaldoDestino=5174.2. workerIdProcesador=worker0}
2|101810|100670|24.14|Thu May 22 03:12:48 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P1. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=4719.73. nuevoSaldoDestino=3185.39. workerIdProcesador=worker0}
7|102281|104668|134.81|Thu May 22 03:12:48 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
4|101823|103669|135.95|Thu May 22 03:12:48 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
3|102095|104559|34.04|Thu May 22 03:12:48 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
10|104964|104174|19.62|Thu May 22 03:12:48 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P3. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=5547.26. nuevoSaldoDestino=7322.44. workerIdProcesador=worker0}
11|105201|104406|53.56|Thu May 22 03:12:48 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P3. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=4283.16. nuevoSaldoDestino=8912.1. workerIdProcesador=worker0}
12|100426|105643|171.07|Thu May 22 03:12:48 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
9|103013|101728|92.18|Thu May 22 03:12:48 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
17|104715|105351|67.84|Thu May 22 03:12:48 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P3. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=377.88. nuevoSaldoDestino=8009.650000000001. workerIdProcesador=worker0}
13|104307|102807|111.98|Thu May 22 03:12:48 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
14|104227|100891|60.78|Thu May 22 03:12:48 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
15|101767|104334|110.62|Thu May 22 03:12:48 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
16|101038|105527|78.01|Thu May 22 03:12:48 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
20|100113|101466|43.93|Thu May 22 03:12:48 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P1. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=8998.369999999999. nuevoSaldoDestino=6945.79. workerIdProcesador=worker0}
18|105065|103566|152.45|Thu May 22 03:12:48 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
19|105980|103526|92.12|Thu May 22 03:12:48 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
21|106029|101019|117.75|Thu May 22 03:12:48 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
22|100701|105681|122.80|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
23|103444|101642|187.51|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
29|103513|102082|103.30|Thu May 22 03:12:49 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P2. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=8023.889999999999. nuevoSaldoDestino=2500.8100000000004. workerIdProcesador=worker0}
24|105242|104029|128.48|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
30|102939|102169|126.67|Thu May 22 03:12:49 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P2. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=2668.0699999999997. nuevoSaldoDestino=390.8. workerIdProcesador=worker0}
31|103715|102786|26.76|Thu May 22 03:12:49 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P2. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=8000.91. nuevoSaldoDestino=3444.3300000000004. workerIdProcesador=worker0}
25|100854|105486|187.40|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
26|105709|103139|139.20|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
27|104717|102090|47.03|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
28|103491|104670|196.05|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
32|105267|101610|150.90|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
33|105225|101387|120.38|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
34|103344|103518|97.31|Thu May 22 03:12:49 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P2. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=3675.56. nuevoSaldoDestino=7989.72. workerIdProcesador=worker0}
35|105356|104397|80.74|Thu May 22 03:12:49 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P3. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=5111.04. nuevoSaldoDestino=4316.23. workerIdProcesador=worker0}
36|101812|104541|128.94|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
37|101591|102562|18.15|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
38|104684|103453|118.36|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
41|103170|103335|41.53|Thu May 22 03:12:49 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P2. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=3704.8599999999997. nuevoSaldoDestino=4346.78. workerIdProcesador=worker0}
39|104423|102673|114.64|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
40|103628|105137|172.04|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
42|101846|104327|11.94|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
45|103574|102794|86.86|Thu May 22 03:12:49 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P2. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=4600.02. nuevoSaldoDestino=2353.7000000000003. workerIdProcesador=worker0}
43|102211|105566|132.34|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
48|104112|105741|149.39|Thu May 22 03:12:49 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P3. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=4960.639999999999. nuevoSaldoDestino=7851.530000000001. workerIdProcesador=worker0}
44|101998|103669|112.69|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
46|105602|102831|147.96|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
47|102114|100166|35.47|Thu May 22 03:12:49 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
49|105920|101499|150.29|Thu May 22 03:12:50 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
52|104166|105583|124.44|Thu May 22 03:12:50 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P3. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=2270.96. nuevoSaldoDestino=6809.429999999999. workerIdProcesador=worker0}
54|100372|101221|63.06|Thu May 22 03:12:50 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P1. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=4031.54. nuevoSaldoDestino=9153.26. workerIdProcesador=worker0}
50|104839|101292|83.78|Thu May 22 03:12:50 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
55|105820|104674|22.25|Thu May 22 03:12:50 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P3. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=9147.73. nuevoSaldoDestino=4832.76. workerIdProcesador=worker0}
51|105548|103764|189.79|Thu May 22 03:12:50 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
53|104320|101896|149.97|Thu May 22 03:12:50 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
56|102485|101274|51.56|Thu May 22 03:12:50 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
57|103264|100389|9.66|Thu May 22 03:12:50 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
58|102359|104005|73.33|Thu May 22 03:12:50 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P2. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=3997.61. nuevoSaldoDestino=6199.86. workerIdProcesador=worker0}
60|101447|101945|127.36|Thu May 22 03:12:50 GMT-05:00 2025|EXITO|Worker: worker0. Particion: CUENTA_P1. Transferencia intra-partición OK por worker0 Datos: {nuevoSaldoOrigen=6005.320000000001. nuevoSaldoDestino=2236.3900000000003. workerIdProcesador=worker0}
59|105906|102576|11.50|Thu May 22 03:12:50 GMT-05:00 2025|TRANSACCION_CONFIRMADA|Transferencia inter-partición completada.
